Names,Ratings,Metascore,Votes,Gross
1.Logan(2017),8.1,77,660832,$226.28M
2.Thor:Ragnarok(2017),7.9,74,606820,$315.06M
3.WonderWoman(2017),7.4,76,588301,$412.56M
4.GuardiansoftheGalaxyVol.2(2017),7.6,67,582780,$389.81M
5.StarWars:EpisodeVIII-TheLastJedi(2017),7.0,84,573237,$620.18M
6.Dunkirk(2017),7.8,94,568141,$188.37M
7.Spider-Man:Homecoming(2017),7.4,73,526430,$334.20M
8.GetOut(I)(2017),7.7,85,503777,$176.04M
9.BladeRunner2049(2017),8.0,81,474325,$92.05M
10.It(I)(2017),7.3,69,466765,$327.48M
11.BabyDriver(2017),7.6,86,449666,$107.83M
"12.ThreeBillboardsOutsideEbbing,Missouri(2017)",8.1,88,444987,$54.51M
13.JusticeLeague(2017),6.2,45,410383,$229.02M
14.Coco(I)(2017),8.4,81,400024,$209.73M
15.TheShapeofWater(2017),7.3,87,379089,$63.86M
16.JohnWick:Chapter2(2017),7.5,75,374645,$92.03M
17.Jumanji:WelcometotheJungle(2017),6.9,58,326885,$404.52M
20.Kong:SkullIsland(2017),6.6,62,285017,$168.05M
21.Kingsman:TheGoldenCircle(2017),6.7,44,278942,$100.23M
22.BeautyandtheBeast(I)(2017),7.1,65,278731,$504.01M
23.PiratesoftheCaribbean:DeadMenTellNoTales(2017),6.5,39,269358,$172.56M
25.Alien:Covenant(2017),6.4,65,257775,$74.26M
26.LadyBird(2017),7.4,94,248364,$48.96M
27.TheGreatestShowman(2017),7.6,48,245142,$174.34M
28.WarforthePlanetoftheApes(2017),7.4,82,231259,$146.88M
30.CallMebyYourName(2017),7.9,93,220645,$18.10M
31.MurderontheOrientExpress(2017),6.5,52,217421,$102.83M
32.WindRiver(2017),7.7,73,212077,$33.80M
33.Life(I)(2017),6.6,54,210096,$30.23M
34.TheFateoftheFurious(2017),6.6,56,208196,$226.01M
35.GhostintheShell(2017),6.3,52,198852,$40.56M
37.KingArthur:LegendoftheSword(2017),6.7,41,195268,$39.18M
38.Mother!(2017),6.6,75,194864,$17.80M
39.TheHitman'sBodyguard(2017),6.9,47,190979,$75.47M
"41.I,Tonya(2017)",7.5,77,186961,$30.01M
42.AtomicBlonde(2017),6.7,63,178857,$51.69M
44.DarkestHour(2017),7.4,75,175625,$56.47M
45.TheMummy(2017),5.4,34,175233,$80.10M
46.Bright(I)(2017),6.3,29,171347,
47.Baywatch(2017),5.5,37,165198,$58.06M
48.ValerianandtheCityofaThousandPlanets(2017),6.5,51,165055,$41.19M
49.AmericanMade(2017),7.2,65,161379,$51.34M
