Questions,Votes,views
"this is the link https://www.baldor.com/catalog/ of the website i need to scrape and i need to extract the items under products like the link of motors,mounted bearings  using  python scrapy.i cannot ...",0,2
"I develop the system to export some data from the client's side using the SOAP. I have a link to their staging wsdl, and implemented some kind of the SOAP client, but unfortunately my SOAP request is ...",0,2
"I am using Selenuium to test a Django website.When I run my test, I get the following error:TypeError: 'WebElement' object is not callableHere are the relevant snippets of my code:base.pyimport ...",0,2
"test = [{ CNA:72,RNA:52,LN:32,}]filter it using this arraytest2 ={CNA,RNA}and the result is looked like this[{ CNA:72,RNA:52}]",0,2
"There are questions like this and this, but they don't help.Per this Twitter documentation, we use Postman to build and send REST API requests to interface with the Twitter API.We can register a ...",0,2
I am working on a Django project who uses Django channels for notifications and private messages. Everything works perfectly fine when a user is connected. But when no user is connected (login and ...,0,2
I need your help to resolve a java genericity problem.I would like to correct the following error :The method reprendreProduits(EntiteRepriseDTO) in the type RepriseService is not applicable for the ...,0,2
I am trying to use DI in my simple console application.when I try to use IHostBuilder in my class I get an error: 'Can not resolve symbol Host'.using System;using Microsoft.Extensions.Hosting;...,0,4
"At line:1 char:35cd ""d:\sourav\VS for WD.vscode"" && gcc mycode.c -o mycode && ""d:\sourav\VS for ...                              ~~The token '&&' is not a ...",0,5
"enter image description hereHo do I get the values of all the % (like -76%,88%..and so on) using night watchattached the ui /inspect element snapshot",0,3
"I have a problem, when I am on page 2 or on any other page and I want to return to the index, the url that offers me the pagination on page 1 is the following (https://www.url.com/?page=1) and I would ...",0,3
Is there any way to get item specification from an item on serena dimensions just by knowing the item name and the path?,0,3
I wan't use a service builder liferay inside my portlet angular . to display the result in my html tableservices.ts :public getPrescription(){    var instance = this;    return new Promise<...,0,3
"Creating or updating a google contact with appscript is well documented. However I find no information on how to add a photo to a contact within appscript.Situation:A google sheet row with: Name, ...",0,4
"I'm creating a site with php, angularjs etc.There is a view/state (ui-router) which triggers a service to query the Active Directory for information of people in a specific country.So far this works....",0,3
"I have this table (bytestest) in my DB: |NAME | TYPE | id      | int | varbin  | varbinary(8000) | varblob | blob And I want to add data, read from a file, into the varblob column.I write this ...",0,5
"I'm currently building the layout component (Navbar, Footer and Content), it looks like this:// containers/Layout/index.jsxexport default function Layout({ children }) {  const classes = useStyles()...",0,5
I need to insert 3-4 million rows into a PostgreSQL database. This will be static lookup data.We have various staging environments on the way to production. I have seen all the answers here on Stack ...,0,3
hello my name is piero de santo I am the director of a digital terrestrial television station we make a streaming visible on: http://www.calabriauno.news.We are having an app that should work with ...,0,3
"I have to maintain a custom made CMS using symfony 4.4 .It is used to manage items, and URL are made from their slug, based on their name.The main problem is that their name tends to vary from time ...",0,5
Hi I'm new to programming and have been working on a website using Firebase Firestore as my database.I wanted to create a subcollection in my already existing collection ('Einkaufsliste') by using ...,0,6
"In my application I have integrated the WebRTC protocol so I can make a video call with participants. In order to show my local camera stream, I use a SurfaceViewRenderer inherited from this package ...",0,3
How can I make a code where I have a loop that creates 2 lists made out of 6 unique integrals that change at each single repetition and then at each repetition I check if these 2 lists are equal and ...,0,10
"When running whole feature file, some test-cases fails due to server error but when runned separately by making another feature file where there is only one scenario, the test-cases pass.By running ...",0,2
"The following code behaves differently for the SAME file for interactive and admin-users vs. non-interactive ones. It seems to ALWAYS succeed for admins, but for non-admins, restricted default users ...",0,2
"I am using Flink 1.12, and I have specified the time characteristic to be event time, as follows:env.setStreamTimeCharacteristic(TimeCharacteristic.EventTime)I have forgot to specify the water mark ...",0,3
"Based on an almost identical question, I am trying to create unique based on several columns where rows should grouped into the same ID if ""there exists a path through any combination of the ...",0,6
Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the clientat ServerResponse.setHeader (_http_outgoing.js:558:11)at ServerResponse.header (D:\D\Coding\Web Development\Final ...,0,4
