Questions,Votes,views
"I installed jenkins and postgres on same centos7 server.I also installed and configured ""database"" and ""PostgreSQL Database Plugin"" as shown in this image:I want to insert data ...",0,2
I am attempting to create a user directory that's name is equal to the user's 'id' which is an auto-incremented column in my database. that will later be used to store text files for the user to ...,0,2
"I'm making a chat window with 2 forms, in Form1 the user can change the image from a Dialog File to a picturebox called Imagen_Usuario, and in Form2 the image from the picturebox Usuario_Actual should ...",0,3
"How can ı change this code to make list like [[0],[0,1],[0,1,2]]a=[]lst = 3element = 1for i in range(lst):    a.append([0,1,2] * element)print(a)output = [[0, 1, 2], [0, 1, 2], [0, 1, 2]]",0,4
"i was trying to access the //XPath xpath = XPathFactory.newInstance().newXPath();  but getting the issue like The package javax.xml.xpath is accessible from more than one module: <unnamed>, java....",0,2
"I have the following model:Model: ""functional_1""__________________________________________________________________________________________________Layer (type)                    Output ...",0,2
"How many VM's/ Machines can be configured as ""SLAVE"" Machines in Jmeter ""MASTER""Is it limited to only 10 or can we configure upto 50 also?Thanks in Advance!!",0,2
I can't find a clear explanation as to what the Docker sleep command does so can someone explain please?I have had a look online but I can't find a simple explanation.,0,2
"I have my PATH variable to point to my-project directory. However when I try to run the python script from outside it does not work. May be it tooks simple, but i am not able to find an answer.I have ...",0,2
"I am new to haskell and is following the book ""Learn you a haskell for great good"". When rewriting the code from one of the example in the book, that includes where clause with guards, I get ...",0,2
Is there any syntax highlight and formatter that works with Mountbank in vs-code.I don't know much about .ejs but all the result suggests to use HTML formatter for .ejs file which is not work with ...,0,2
The user is uploading an excel file and if there are spaces in the header I  have to remove it and upload .Is it possible using PHP ?,0,5
given date =05-01-2021new DateTime(Convert.ToDateTime(process.inorDate).AddDays(-1))Exception : ArguementOutofRangeExceptionit is showing a error called cannot convert System.Datetime to long,0,7
"The code I have used for this purpose if only checking the single six's in the loophere it isfrom random import *trial = randint(1, 6)print(trial)counter = 0last_dice = randint(1, 6)print(...",0,3
"Can anyone help with what does live result and static results mean?in javascript , getElementsByTagName() returns ""live"" results and getBoundingClientRect() are not live . what does this ...",0,5
"I would have expected, that in the following function the first window.location.href works as a return, gets redirected to example.com, and the rest of the code would be ignored.() => {  window....",0,6
"im beginner in flutter and im trying to make a widget like in mockup: that's contain a search bar and notification badge, after creating the code i get a error in debuggercode :Row(        ...",0,4
"According this issue https://github.com/swagger-api/swagger-ui/issues/6846 Swagger UI's HTML sanitizer removes inline style, class, and data-* attributes. But it can be configured by useUnsafeMarkdown=...",0,3
"Has anybody done a SwiftUi version of the Apple sample code ""Accessory Finder"" which is on the developer site?https://developer.apple.com/documentation/homekit/...",0,3
Screenshot of what i am trying to impementI have a requirement to make the flexbox to show items that it can accomodate and rest of the elements shouldnt be visible.Also here each item is having a ...,0,5
"I'm triyng to mix two arrays with .map() and .filter(), but my elements are doubled, tripled and more.My two arrays are,a = [      [ ""id"", 1536 ],      [ ""origin"", ""...",0,10
I'm trying to sign a PDF document using one of the certificates listed in Windows Certificate Store.Base conditions set to develop this feature areI cannot use any third party library that has an ...,0,7
I am using fabric 2.0 and CouchDB as a state database.The data in the blockfile are correct (according the input I entered via the WebApp)When I go to fauxton (http://localhost:6984/_utils/#database)...,0,4
How can I keep only the minimum value in one column while preserving the rest of the data in the other columns in SQL?  I'm trying to filter the field 'OrderID' to exhibit the lowest order# by ...,0,5
"So I'm working on a simple RPG game. I want to add an option to load progress through the game, but I guess I'm not that familiar with Java to do it without issues. The idea is to save the game on ...",0,5
"I've been developing a new Vue project to control the connected devices from one point, I've been working on an admin template and it's all good but there is something that I want to learn and ...",0,3
"We need to get rid of vaadin's default behavior when the ""Server connection lost"" message is shown. Our need is that the application doesn't show any message and doesn't block the user's ...",0,4
"In Django File Based Caching, if I create an entry, does it create individual entries for each individual process? I am creating the entry from settings.py file.Thank you",0,3
The code is working till reading the operation type. I searched and found about leading white-space issue and tried to fix the case by putting a blank space before %c. However it didn't work. Here is ...,0,6
"I'm rendering a bit of html in the browser with renderToString because I need to extend some static html that's imported. Not very elegant, but has to be done.The issue is always get the warning...",0,4
